station,spring_year,spring_doy,tc,te,CA,GDD,pre,longitude,latitude,elevation,slope,northness,DTR,ATR,DL2,DL3,DL4,qq2,qq3,qq4,rrsum10,rrsum11,rrsum12,rrsum1,rrsum2,rrsum3,rrsum4,rrday10,rrday11,rrday12,rrday1,rrday2,rrday3,rrday4,soil10,soil11,soil12,soil1,soil2,soil3,soil4,hu10,hu11,hu12,hu1,hu2,hu3,hu4,Lastfz,fzday,autumn_doy
4,1996,111,15.0,48.0,118.98694297630988,4.134505131754712,118.0,10.05,54.317,31,1.313740015,45.0,17.793225460322578,17.793225460322578,9.727107306044022,11.881874735984978,14.090772328704553,41.3448275862069,95.3225806451613,180.13333333333333,21.3000001,24.80000058,22.9000012,1.6,33.7000008,8.2000001,18.7000003,4.0,5.0,2.0,0.0,5.0,2.0,3.0,55.5,78.3,78.3,78.3,78.3,96.700005,97.8,81.9385780967742,82.38011186666667,85.19430287937857,87.0698586365783,85.92622315647665,82.42460416129033,70.18433386666668,105.0,16.0,317.0
4,1999,92,10.0,43.0,118.40900940751146,5.590801920181846,97.0,10.05,54.317,31,1.313740015,45.0,14.91967722129032,14.91967722129032,9.69193609902964,11.808687108708712,14.02016154159725,43.75,84.51612903225806,161.36666666666667,169.7000032,75.9000011,60.40000024,81.0000004,55.50000024,72.4000003,34.9000002,19.0,10.0,8.0,13.0,13.0,9.0,8.0,97.8,97.8,97.8,97.8,97.8,97.8,83.0,82.034033,88.46442423333333,88.57892258907975,87.08892465409157,88.55326882233989,80.49053877419355,77.4643603,110.0,0.0,307.0
4,2002,91,28.0,61.0,112.76098101655838,5.9914861449762125,105.0,10.05,54.317,31,1.313740015,45.0,14.114515854193549,14.114515854193549,9.69193609902964,11.808687108708712,14.02016154159725,51.21428571428572,97.87096774193547,144.2,42.2000003,78.6,68.40000014,81.9000003,129.0000026,47.3,44.0000004,9.0,12.0,8.0,11.0,19.0,8.0,7.0,97.8,97.8,97.8,97.8,97.8,96.200005,89.1,84.55419429032257,86.05044720000001,89.13605173030172,87.1447353615279,80.96321510714286,78.40287851612904,78.22903253333334,85.0,3.0,314.0
15,2003,114,4.0,37.0,119.17729389514312,7.03358952311361,110.0,9.7,54.483,7,1.914720058,14.03601070000002,18.043870774193547,18.043870774193547,9.676797713280164,11.80710371633092,14.032534987768248,53.67857142857143,109.2258064516129,180.53333333333333,140.5000028,90.3000017,38.5,65.6000013,15.7000005,25.3000004,52.2,12.0,9.0,6.0,13.0,4.0,4.0,6.0,96.1,96.1,96.1,96.1,96.1,96.1,91.4,85.56784383870966,89.78685303146203,84.48098440842755,90.75034016993403,87.78578660714287,80.17238738709678,71.9693337,99.0,2.0,295.0
15,2011,105,12.0,45.0,119.06251659713364,6.670478573709545,101.0,9.7,54.483,7,1.914720058,14.03601070000002,15.46935473354839,15.46935473354839,9.676797713280164,11.80710371633092,14.032534987768248,41.42857142857143,102.70967741935485,193.0,64.5000002,157.7000004,44.8000003,43.1000003,57.3000004,22.2000003,5.3000001,9.0,13.0,7.0,9.0,6.0,5.0,1.0,96.1,96.1,96.1,96.1,96.1,96.1,59.2,85.89562148387097,90.47404096666666,91.23451139109731,92.43656404991704,80.87954587547675,81.91843974193549,72.68766693333333,86.0,8.0,259.0
21,1997,108,16.0,49.0,119.00384974069736,6.514467276389989,105.0,9.8167,54.433,21,0.464549989,90.0,19.41548354535484,19.41548354535484,9.681371376865709,11.807581843846805,14.028796557542648,43.0,99.19354838709675,161.43333333333334,64.7000022,137.0000011,42.9000001,1.2,95.60000154,51.6000001,28.5000003,7.0,18.0,5.0,0.0,13.0,8.0,6.0,62.7,96.5,96.5,96.5,96.5,96.5,80.5,85.8441946451613,89.374224,87.03050797344655,88.15270077419355,83.47855249999999,80.61828748387097,72.586933,97.0,4.0,300.0
21,1999,104,10.0,43.0,118.43659779379854,7.114177017295822,97.0,9.8167,54.433,21,0.464549989,90.0,14.898709446774191,14.898709446774191,9.681371376865709,11.807581843846805,14.028796557542648,43.92857142857143,84.29032258064517,161.86666666666667,191.8000019,75.80000150000001,68.700001,96.1000014,62.4000005,77.3000003,40.70000134,19.0,9.0,11.0,14.0,14.0,11.0,8.0,96.5,96.5,96.5,96.5,96.5,96.5,85.6,83.32369625806452,88.44166496666666,87.89806674193548,88.29920738709677,88.87674057142856,81.81948925806452,80.14202456666666,54.0,0.0,292.0
21,2005,115,17.0,50.0,119.34001368336686,6.698789498998513,110.0,9.8167,54.433,21,0.464549989,90.0,14.063548100967742,14.063548100967742,9.681371376865709,11.807581843846805,14.028796557542648,42.92857142857143,100.80645161290325,177.93333333333334,51.20000034,49.2000003,73.7000013,81.10000029999999,52.90000134,59.6000002,20.70000044,6.0,8.0,10.0,15.0,7.0,7.0,2.0,96.5,96.5,96.5,96.5,96.5,96.5,79.0,84.15969435483872,87.62311493333333,91.74336374596608,86.62465032258065,84.31996307142857,84.91486383116306,75.72950056666667,79.0,12.0,299.0
21,2009,123,16.0,49.0,119.23670551226805,10.2376085335696,103.0,9.8167,54.433,21,0.464549989,90.0,17.10419318451613,17.10419318451613,9.681371376865709,11.807581843846805,14.028796557542648,37.07142857142857,84.96774193548387,203.1,107.5000017,57.20000134,25.0000001,20.70000014,42.8000012,53.70000094,7.2000002,16.0,8.0,4.0,4.0,5.0,9.0,2.0,96.5,96.5,96.5,96.5,96.5,96.5,60.3,87.94353483870968,87.61367853292455,90.905231049878,89.0030903408005,90.18181473424995,86.85529349027321,76.44949636666666,55.0,0.0,291.0
40,1997,98,8.0,41.0,118.78570872587387,6.102163486918271,99.0,10.683,53.95,45,2.202519894,18.43499759999997,20.02870939483871,20.02870939483871,9.724942707950586,11.812147773767428,13.993187544821811,45.92857142857143,100.61290322580643,159.06666666666666,51.0000004,100.000001,26.6000001,2.8,80.10000064,41.10000034,35.7000003,7.0,16.0,4.0,0.0,12.0,3.0,4.0,42.3,95.0,97.3,98.1,111.6,111.5,91.5,87.21552158079342,89.1086703,87.58524575126096,88.34277193548388,81.84226782142856,79.62651429032258,70.21347193333332,116.0,8.0,303.0
