station,spring_year,spring_doy,tc,te,CA,GDD,pre,longitude,latitude,elevation,slope,northness,DTR,ATR,DL2,DL3,DL4,qq2,qq3,qq4,rrsum10,rrsum11,rrsum12,rrsum1,rrsum2,rrsum3,rrsum4,rrday10,rrday11,rrday12,rrday1,rrday2,rrday3,rrday4,soil10,soil11,soil12,soil1,soil2,soil3,soil4,hu10,hu11,hu12,hu1,hu2,hu3,hu4,Lastfz,fzday,autumn_doy
4,2005,114,21.0,34.0,97.3822779793866,2.842700284260789,117.0,10.05,54.317,31,1.313740015,45.0,14.20870954516129,14.20870954516129,9.69193609902964,11.808687108708712,14.02016154159725,42.85714285714285,100.96774193548389,178.46666666666667,42.5000014,45.500001,67.8000024,66.000001,39.4000001,49.5000016,18.4000001,5.0,7.0,9.0,12.0,5.0,8.0,2.0,71.200005,97.8,97.8,97.8,97.8,97.8,75.200005,80.09016232258064,83.26489273333333,90.92845629344434,84.2178355483871,82.95327213309325,81.57349222580646,69.78166753333333,79.0,11.0,282.0
4,2008,113,16.0,29.0,97.6384159762548,3.503508810626009,98.0,10.05,54.317,31,1.313740015,45.0,13.304516027096774,13.304516027096774,9.727107306044022,11.881874735984978,14.090772328704553,45.89655172413793,95.35483870967742,162.16666666666666,25.1000001,43.8000006,64.3,68.3000011,41.6,66.90000004,36.9000002,3.0,8.0,6.0,12.0,7.0,12.0,10.0,97.8,97.8,97.8,97.8,97.8,97.8,87.6,80.09467819354839,83.14150096666667,88.07664957284898,84.09351322580645,80.19128720689655,77.42854929032258,76.1646672,98.0,6.0,284.0
4,2011,107,16.0,29.0,96.9237549624124,3.013600223027483,107.0,10.05,54.317,31,1.313740015,45.0,15.374838523225806,15.374838523225806,9.69193609902964,11.808687108708712,14.02016154159725,42.35714285714285,102.6774193548387,193.4333333333333,76.5000005,167.7000034,49.3,41.3000003,69.6,19.5,5.6000001,10.0,14.0,8.0,8.0,6.0,5.0,2.0,97.8,97.8,97.8,97.8,97.8,97.8,58.2,83.35738119354839,88.70914066666667,89.25800374193548,90.75835592669884,78.31377173618395,79.30008316129032,70.90666686666667,123.0,5.0,282.0
15,2001,128,32.0,45.0,98.31392504646576,3.228324813808735,123.0,9.7,54.483,7,1.914720058,14.03601070000002,16.220322416,16.220322416,9.676797713280164,11.80710371633092,14.032534987768248,45.5,87.2258064516129,136.83333333333334,83.1000005,41.90000044,48.6000001,40.90000054,57.5000001,61.50000034,63.3000011,13.0,8.0,10.0,7.0,9.0,7.0,11.0,85.8,96.1,96.1,96.1,96.1,96.1,96.1,86.50037122580645,88.35645196666665,89.21572019166614,91.3706080710446,86.86396264285715,81.67091696774193,81.18722276666668,104.0,12.0,277.0
15,2004,121,7.0,20.0,97.82710469705565,4.027928816967508,106.0,9.7,54.483,7,1.914720058,14.03601070000002,15.240322269903228,15.240322269903228,9.712201555132674,11.880744424413528,14.103614284982957,49.44827586206897,97.5483870967742,167.2,101.700001,53.40000034,67.4000001,109.40000284,89.90000334,37.0000015,26.4000003,10.0,9.0,10.0,10.0,8.0,6.0,6.0,69.0,96.1,96.1,96.1,96.1,96.1,79.1,83.50003725806451,89.0886778,86.93406125806452,88.67484903225807,86.08682631034483,81.98075383870967,78.7960006,87.0,8.0,296.0
15,2006,118,30.0,43.0,97.46089102898398,2.4808606941653046,124.0,9.7,54.483,7,1.914720058,14.03601070000002,22.000967537741936,22.000967537741936,9.676797713280164,11.80710371633092,14.032534987768248,37.60714285714285,87.51612903225806,136.3,76.8000011,56.6000002,70.20000034,24.8,33.40000054,76.60000124,69.7000006,6.0,8.0,14.0,4.0,6.0,9.0,15.0,83.0,96.1,96.1,96.1,96.1,96.1,96.1,84.25371070967742,88.73713548045957,90.3880406451613,89.69916611468746,88.24476211689964,84.62547383870968,82.20466763333334,82.0,19.0,283.0
15,2008,113,15.0,28.0,97.6603328322837,3.414993741985561,101.0,9.7,54.483,7,1.914720058,14.03601070000002,12.88419329032258,12.88419329032258,9.712201555132674,11.880744424413528,14.103614284982957,45.689655172413794,95.16129032258064,164.36666666666667,30.4,54.5000002,67.90000058,75.00000109999999,50.9000004,86.50000044,33.2000004,5.0,10.0,8.0,14.0,7.0,14.0,5.0,96.1,96.1,96.1,96.1,96.1,96.1,86.3,84.56105906451613,86.03466846666667,90.08068588085646,87.11576996644966,84.22760794828574,80.76844170967742,79.15283436666667,98.0,8.0,261.0
21,1994,116,4.0,17.0,97.85311839155804,3.494870482723636,110.0,9.8167,54.433,21,0.464549989,90.0,17.021935374193546,17.021935374193546,9.681371376865709,11.807581843846805,14.028796557542648,41.60714285714285,85.58064516129032,150.9,64.2,41.0000001,162.30000074,88.0000003,32.3000014,117.50000254,27.20000044,8.0,5.0,22.0,15.0,7.0,17.0,4.0,96.5,96.5,96.5,96.5,96.5,96.5,90.9,86.36847167741935,88.20110153333333,90.58286812903226,88.59423129032258,81.0395185,84.91106834505958,78.57681083333334,79.0,1.0,273.0
21,2004,108,9.0,22.0,97.93300021518507,3.0971118958505324,106.0,9.8167,54.433,21,0.464549989,90.0,15.123870802709678,15.123870802709678,9.716704914853796,11.88108568839078,14.099734262014485,49.3448275862069,97.51612903225806,167.53333333333333,92.3000011,49.5000003,65.1000004,97.70000144,82.20000003999999,36.4000005,29.0000007,11.0,6.0,9.0,11.0,7.0,5.0,6.0,65.0,96.5,96.5,96.5,96.5,96.5,79.200005,83.89328716129032,90.18875106666664,86.88208296774194,88.55632946164485,86.24093627586207,83.01470335483872,80.6355013,87.0,7.0,253.0
36,2005,107,17.0,30.0,97.69869960625188,2.6688316605954454,113.0,8.95,54.317,3,0.734493971,161.5650024,13.807419119354838,13.807419119354838,9.69193609902964,11.808687108708712,14.02016154159725,44.46428571428572,100.03225806451611,178.73333333333332,60.3000012,72.40000044,62.2000003,48.200001,42.20000004,40.40000024,43.0000002,9.0,11.0,9.0,8.0,7.0,6.0,8.0,73.1,73.1,73.1,73.1,73.1,73.1,54.7,87.72683427711435,89.40350310123951,92.2487047849129,89.58414105967084,87.71254089267231,86.07773042799734,76.89707096666666,79.0,11.0,295.0
